id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
6287375;Single & Quite Room in Guinardó, Barcelona;3073;Ricard;Horta-Guinardó;el Guinardó;41,42031;2,17312;Private room;26;4;21;01/12/2016;0,24;1;0;0;
8215059;Park Guell - 1bdr / 1 bath;10704;Weflating;Gràcia;Vallcarca i els Penitents;41,4097;2,1466;Entire home/apt;120;2;12;21/08/2022;0,17;23;21;1;HUTB-010500
8218547;Apartamento Diagonal - Eixample;10704;Weflating;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,3923;2,14001;Entire home/apt;210;2;13;05/08/2022;0,17;23;78;5;HUTB-004726
8260935;D3 - Centro Ciudad / Pº de Gracia;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39723;2,1614;Entire home/apt;210;25;10;14/08/2022;2,26;23;102;10;HUTB-010041
13775306;Suites Sant Antoni - 2 bedroom with balcony;10704;Weflating;Eixample;la Nova Esquerra de l'Eixample;41,38258;2,15634;Entire home/apt;110;32;5;30/11/2021;0,08;23;320;1;No requerida por alojamiento de larga estancia
15406272;Gorgeous 3 bedroom apartment - Gran Via;10704;Weflating;Eixample;Sant Antoni;41,38125;2,15828;Entire home/apt;200;32;7;04/06/2022;0,1;23;224;1;HUTB-010112-61
19922686;SF11 - Sagrada Familia - 1hab;10704;Weflating;Eixample;la Sagrada Família;41,40512;2,17131;Entire home/apt;95;32;0;;;23;279;0;
20855659;Born beach side two bedroom apartment;10704;Weflating;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38404;2,18585;Hotel room;70;32;6;07/10/2021;0,12;23;300;1;No needed since it is a monthly rental
23677992;Sweet Beach 2;10704;Weflating;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,3846;2,18625;Entire home/apt;70;32;8;27/07/2021;0,15;23;322;0;
27070617;Born sea side 2 bedroom with common terrace;10704;Weflating;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38454;2,18575;Entire home/apt;70;32;6;13/08/2022;0,17;23;323;1;
33062227;Superior three bedroom apartment City Center;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39207;2,17046;Hotel room;288;1;100;06/09/2022;2,46;23;177;73;hutb-001986
33062383;Sunny three bedroom  penthouse apartment;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39207;2,17046;Entire home/apt;319;1;73;06/09/2022;1,83;23;99;45;HUTB-001996
33067556;Two bedroom apartment downtown Barcelona;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39207;2,17046;Entire home/apt;239;1;68;07/09/2022;1,67;23;254;37;HUTB-001989
39744000;Mosaic Eixample 3;10704;Weflating;Eixample;l'Antiga Esquerra de l'Eixample;41,38965;2,15965;Entire home/apt;120;32;0;;;23;181;0;
42062992;4-bedroom with terrace near Pg Gracia&Pl Catalunya;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39211;2,17055;Entire home/apt;532;3;70;05/09/2022;3,37;23;99;66;HUTB-787084
46636214;Boutique apartment in the city center;10704;Weflating;Eixample;la Dreta de l'Eixample;41,392105;2,170545;Entire home/apt;187;2;28;01/09/2022;1,82;23;138;25;HUTB-198579
52179563;Suites GV Sant Antoni - 2 bedroom with balcony;10704;Weflating;Eixample;la Nova Esquerra de l'Eixample;41,38106;2,15611;Entire home/apt;110;32;0;;;23;26;0;
53824743;Superior bedroom with private bathroom up to 4;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39269;2,16964;Private room;157;2;4;17/07/2022;0,47;23;249;4;AJ000490
53914541;Family room with private bathroom for up to 4;10704;Weflating;Eixample;la Dreta de l'Eixample;41,39326;2,17076;Private room;165;2;9;18/08/2022;1,07;23;203;9;AJ000490
53914868;Economy room with private bathroom for up to 2;10704;Weflating;Eixample;la Dreta de l'Eixample;41,393;2,17132;Private room;113;2;2;16/05/2022;0,26;23;189;2;AJ000490
53932280;Gran Via Central with Terrace - 1;10704;Weflating;Eixample;la Dreta de l'Eixample;41,392105;2,170545;Entire home/apt;145;31;0;;;23;69;0;
53932688;Chic Boutique - 1;10704;Weflating;Eixample;la Dreta de l'Eixample;41,392105;2,170545;Entire home/apt;90;31;0;;;23;274;0;
53964467;Gran Via Central with Terrace - 2;10704;Weflating;Eixample;la Dreta de l'Eixample;41,392105;2,170545;Entire home/apt;145;31;0;;;23;48;0;
53964846;Chic Boutique - 2;10704;Weflating;Eixample;la Dreta de l'Eixample;41,392105;2,170545;Entire home/apt;90;31;0;;;23;274;0;
34883759;COOL CHIC AND RENOVATED;26970;Hugo;Ciutat Vella;el Raval;41,3804;2,16528;Private room;141;31;110;01/09/2022;2,75;2;62;45;Exempt
39141386;Cozy, Calm and Renovated - Joan Miro Park;26970;Hugo;Eixample;la Nova Esquerra de l'Eixample;41,37964;2,15017;Entire home/apt;130;2;74;01/09/2022;2,08;2;49;35;HUTB-003463
978990;Gotico Super-Apt near Pi and Boqueria Market!;34580;Ron;Ciutat Vella;el Barri Gòtic;41,38387;2,1717;Private room;76;32;357;10/08/2022;3,08;1;228;50;
6869498;Big room in MODERNIST FLAT !! Borne;41161;Xavier;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,39049;2,17889;Private room;69;32;72;24/08/2022;0,82;1;338;21;
4383632;Cozy apartment near Sagrada Familia;44384;Daniela;Horta-Guinardó;el Guinardó;41,41179;2,17437;Entire home/apt;99;10;81;02/09/2022;0,92;1;139;6;HUTB-009823
50059802;Rambla Liceu Raval near Rambla Catalunya;58150;Vinicius Parisian;Ciutat Vella;el Raval;41,37944;2,16837;Entire home/apt;156;1;1;01/03/2022;0,15;1;294;1;
10082639;Charming loft in El Born;67353;Alexandre;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41,38838;2,17895;Private room;81;3;86;08/09/2022;1,06;1;135;13;Exempt
18674;Huge flat for 8 people close to Sagrada Familia;71615;Mireia And Maria;Eixample;la Sagrada Família;41,40556;2,17262;Entire home/apt;180;1;30;29/08/2022;0,27;38;60;9;HUTB-002062
1119598;Flat with views to Sagrada Famila;71615;Mireia And Maria;Eixample;la Sagrada Família;41,40457;2,17215;Entire home/apt;198;1;131;07/09/2022;1,35;38;46;41;HUTB-002113
2288221;Elegant apartment in the heart of the city;71615;Mireia And Maria;Eixample;Sant Antoni;41,37721;2,16429;Entire home/apt;204;1;165;03/09/2022;1,61;38;30;27;HUTB-007160
2394424;Chic studio in a perfect location in Barcelona;71615;Mireia And Maria;Eixample;l'Antiga Esquerra de l'Eixample;41,38723;2,15631;Entire home/apt;191;1;69;20/08/2022;0,68;38;68;24;HUTB-008765
3000464;Barcelona center apartment (2 Adults + 2 Children);71615;Mireia And Maria;Eixample;l'Antiga Esquerra de l'Eixample;41,38532;2,16231;Entire home/apt;174;30;106;07/09/2022;1,05;38;73;6;HUTB-008393
3121245;In front of Fira Barcelona Gran Via;71615;Mireia And Maria;Sants-Montjuïc;la Marina de Port;41,35607;2,12678;Entire home/apt;172;1;23;15/08/2022;0,28;38;102;8;HUTB-011699
3481808;Apat. close to Sagrada Familia;71615;Mireia And Maria;Eixample;la Sagrada Família;41,40452;2,1786;Entire home/apt;169;1;19;23/08/2022;0,2;38;77;6;HUTB-011654
3495408;Apartment for groups near Sagrada Familia;71615;Mireia And Maria;Eixample;la Sagrada Família;41,4023;2,17181;Entire home/apt;164;1;6;13/06/2022;0,13;38;69;3;HUTB-001055
3744012;Apartment close to Fira Gran Via;71615;Mireia And Maria;Sants-Montjuïc;la Marina de Port;41,35518;2,12586;Entire home/apt;179;1;35;03/09/2022;0,36;38;100;5;HUTB-011701
3744593;Apt with cozy terrace;71615;Mireia And Maria;Eixample;l'Antiga Esquerra de l'Eixample;41,385;2,15795;Entire home/apt;168;1;76;08/07/2022;0,87;38;59;14;HUTB-009747
4970715;Recently renovated and quiet ap.;71615;Mireia And Maria;Eixample;la Nova Esquerra de l'Eixample;41,38432;2,14665;Entire home/apt;116;1;63;04/09/2022;0,83;38;88;13;HUTB-006018
5197249;In front of  Fira Gran Via;71615;Mireia And Maria;Sants-Montjuïc;la Marina de Port;41,35823;2,12643;Entire home/apt;173;1;34;08/09/2022;0,4;38;79;18;HUTB-013295
5197640;Apartment in the center of the city;71615;Mireia And Maria;Eixample;l'Antiga Esquerra de l'Eixample;41,38848;2,15607;Entire home/apt;140;1;72;05/09/2022;0,83;38;83;19;HUTB-004738
7003642;Modern apartment with terrace;71615;Mireia And Maria;Gràcia;el Camp d'en Grassot i Gràcia Nova;41,40782;2,16553;Entire home/apt;178;1;56;30/08/2022;0,73;38;75;14;HUTB-002441
7941553;Ap. 2 minutes away from the beach;71615;Mireia And Maria;Ciutat Vella;la Barceloneta;41,37923;2,1913;Entire home/apt;50;32;6;30/10/2021;0,07;38;46;1;
9804396;Apartment in front of Fira Gran Via;71615;Mireia And Maria;Sants-Montjuïc;la Marina de Port;41,35563;2,12732;Entire home/apt;167;1;46;24/08/2022;0,61;38;104;19;HUTB-146160
10578648;Ap for 2 near Las Ramblas;71615;Mireia And Maria;Sants-Montjuïc;el Poble Sec;41,37422;2,1685;Entire home/apt;146;1;52;24/08/2022;0,65;38;89;17;HUTB-004479
17019383;Pretty apartment in front of Fira Gran Via;71615;Mireia And Maria;Sants-Montjuïc;la Marina de Port;41,35755;2,12717;Entire home/apt;168;1;37;06/08/2022;0,71;38;102;16;HUTB-014667
17617313;Apartment with Garden in Gracia;71615;Mireia And Maria;Gràcia;la Salut;41,40846;2,15059;Entire home/apt;68;32;5;01/03/2020;0,08;38;36;0;
